geocode	commune	pop1950	pop1960	pop1970	pop1980	pop1990	pop1995	pop2000	pop2005	pop2010	pop2014	pop2015	pop2016	etbl14	s1_etbl14	s2_etbl14	s3_etbl14	etp14	s1_etp14	s2_etp14	s3_etp14
5585	Jouxtens-Mézery	250	329	383	549	905	990	1166	1273	1341	1398	1405	1448	51	0	14	37	113.6366269	0	41.011512	72.6251149
5586	Lausanne	107680	127136	140106	126716	117321	115576	114304	117152	126720	133521	134937	137053	12483	20	948	11515	92934.23719	94.4883025	6312.636869	86527.11202
5587	Le Mont-sur-Lausanne	1375	1675	2745	3667	4578	4961	5117	5236	5549	6937	7271	7881	688	17	139	532	6473.428914	38.25	1351.796704	5083.38221
5588	Paudex	474	764	1125	1133	1260	1410	1379	1365	1383	1454	1485	1473	148	3	8	137	991.249403	2.675321	56.2708719	932.3032101
5589	Prilly	3508	8122	13297	11407	10719	10660	10421	10653	11250	11824	11782	11871	532	1	95	436	4702.197697	2.5	785.5454301	3914.152267
5590	Pully	7123	12698	15829	14896	15350	15806	15977	16484	17208	17598	17811	17979	1109	8	81	1020	4656.286073	20.87	429.016654	4206.399419
5591	Renens	5696	10565	17060	16393	17126	17058	16983	18102	19456	20307	20362	20323	1164	1	209	954	10731.29794	26	2211.759146	8493.538797
5592	Romanel-sur-Lausanne	313	380	1230	2019	2579	2944	3069	3164	3267	3290	3351	3352	212	5	41	166	1214.239743	9.5389445	442.5495606	762.1512376
5601	Chexbres	1377	1410	1558	1671	1803	1918	1976	2016	2045	2180	2218	2235	160	17	18	125	667.5920529	41.75	109.5323304	516.3097225
5604	Forel (Lavaux)	948	851	353	1159	1479	1600	1710	1805	1932	2072	2085	2066	177	43	35	99	609.6040417	81	287.6300272	240.9740145
5606	Lutry	2912	3501	5071	5848	7221	8016	8240	8662	9328	9648	9739	9888	705	29	64	612	2182.672461	76.5876605	322.3128865	1783.771914
5607	Puidoux	1348	1339	1570	1805	2080	2328	2321	2438	2648	2815	2858	2874	269	50	53	166	1444.292703	109.5876605	505.8207823	828.8842606
5609	Rivaz	350	300	308	326	333	342	321	351	360	345	360	357	36	18	2	16	80.0135129	47.5825949	4.8197494	27.6111686
5610	Saint-Saphorin (Lavaux)	313	265	273	311	342	342	357	357	359	378	383	398	27	5	0	22	51.7886058	14.75	0	37.0386058
5611	Savigny	977	893	1533	2271	2806	3054	3060	3287	3411	3304	3304	3276	271	37	40	194	1174.734919	61.972973	371.5630528	741.1988927
5613	Bourg-en-Lavaux	3181	3166	4135	4094	4602	4744	4856	4926	4954	5184	5247	5296	466	80	69	317	1373.399334	218.9376605	160.1915514	994.2701224
5621	Aclens	260	218	197	258	315	311	361	376	472	538	528	521	108	7	34	67	1336.607042	12.25	302.5890432	1021.767999
5622	Bremblens	181	159	173	257	320	322	356	422	479	495	511	516	55	7	14	34	357.1354233	38.5	204.8479597	113.7874636
5623	Buchillon	234	270	370	461	529	599	608	593	613	616	624	609	30	4	3	23	62.5766501	7.9876605	4.5718034	50.0171862
5624	Bussigny	1561	2363	4444	4839	6612	7104	7263	7524	8015	8208	8215	8227	603	5	123	475	5523.331176	6	2120.075913	3397.255263
5625	Bussy-Chardonney	181	181	175	237	267	252	321	355	375	388	377	369	21	5	2	14	47.0585332	14	4.8146801	28.2438531
5627	Chavannes-près-Renens	1163	1567	2896	4740	5538	5524	5580	6126	6802	7169	7374	7543	290	0	54	236	2524.533291	0	173.745741	2350.78755
5628	Chigny	108	121	150	186	187	250	256	259	322	330	331	343	15	2	3	10	37.8305911	13.25	6.5092575	18.0713336
5629	Clarmont	94	89	118	110	126	140	143	142	138	155	160	175	19	7	1	11	30.5173028	16.75	1	12.7673028
5631	Denens	185	193	239	302	423	524	582	643	658	699	714	769	40	12	5	23	72.5954865	28.25	11.9356056	32.4098809
5632	Denges	283	348	690	922	991	1069	1076	1321	1582	1612	1651	1624	134	4	23	107	780.6548911	28	224.861066	527.7938251
5633	Echandens	481	578	963	1829	2017	2050	2062	2065	2191	2405	2631	2731	209	6	44	159	1116.745744	19.25	495.9749665	601.5207772
5634	Echichens	990	1001	1172	1294	1616	1906	2116	2287	2382	2570	2585	2639	145	32	13	100	546.0115719	59.8	46.9915518	439.2200201
5635	Ecublens	1270	2159	6157	7234	9292	9683	9691	10286	11045	12181	12288	12340	808	6	167	635	13134.01841	10.3376605	2399.256678	10724.42408
5636	Etoy	817	839	815	767	1536	1929	2213	2448	2810	2890	2932	2906	241	15	35	191	2032.758737	58.25	388.5334128	1585.975324
5637	Lavigny	472	486	342	368	637	647	692	739	815	930	981	1006	58	10	10	38	624.2636553	23.25	44.1329077	556.8807476
5638	Lonay	549	993	1190	1165	1454	1676	1909	2210	2442	2508	2536	2530	270	8	55	207	1417.007991	36.25	373.1264973	1007.631493
5639	Lully	201	164	257	441	549	587	663	733	784	764	760	785	61	7	6	48	123.7319776	11	31.5530035	81.1789741
5640	Lussy-sur-Morges	182	159	207	263	405	529	565	550	593	653	646	644	51	7	4	40	199.1597637	20	4.908383	174.2513807
5642	Morges	6510	8394	11722	12628	13403	13361	13729	13959	14463	15401	15623	15819	1332	6	123	1203	8310.979226	39.8727695	954.6796969	7316.42676
5643	Préverenges	480	607	1828	3114	3768	3948	4053	4424	4923	5184	5263	5276	290	2	51	237	1206.886545	8.5	437.0974224	761.2891227
5644	Reverolle	131	106	163	191	317	332	311	335	345	356	360	368	42	11	4	27	61.5657319	12.5	9.3744235	39.6913084
5645	Romanel-sur-Morges	137	126	186	241	403	402	442	453	469	435	459	477	80	4	24	52	330.1620964	12	169.0975386	149.0645578
5646	Saint-Prex	1530	1882	2335	2941	3606	3945	4076	4591	5103	5447	5604	5661	323	14	43	266	2200.021384	35.4408304	1102.753549	1061.827005
5648	Saint-Sulpice	810	1138	1634	2178	2680	2746	2928	2915	3218	3463	3898	4148	262	2	24	236	1010.164907	3.600642	161.0547995	845.5094656
5649	Tolochenaz	347	497	538	851	1608	1660	1666	1640	1717	1812	1855	1865	131	2	27	102	1891.57367	3.8376605	667.9811574	1219.754852
5650	Vaux-sur-Morges	119	117	90	84	101	119	148	164	169	196	203	200	21	8	1	12	47.2412431	11.75	0.8376605	34.6535826
5651	Villars-Sainte-Croix	131	114	146	354	497	538	594	652	670	673	709	841	123	3	44	76	937.5088653	6.350642	504.80901	426.3492133
5652	Villars-sous-Yens	246	219	234	264	283	470	562	542	584	570	564	598	30	11	3	16	69.3318309	33.75	12.581528	23.0003029
5653	Vufflens-le-Château	216	186	239	437	530	573	635	692	780	825	821	841	54	3	6	45	110.6223787	20	6.7061534	83.9162253
5654	Vullierens	366	326	329	350	383	423	399	399	415	457	460	461	44	12	8	24	88.4568293	28	32.8523617	27.6044676
